"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDist:OrderClass","logDist:Region","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"310",-1.61135209969422,"+",NA,"+",-0.102576930359573,NA,"+","+",NA,NA,"+",NA,NA,NA,0.231772190549466,16,-852.288006343195,1737.37483794336,8.30419018382213,0.00135458747136807
"512",-2.65266079706124,"+","+","+",-0.0663825658522846,"+","+","+","+","+","+",NA,NA,NA,0.262086130874226,28,-839.482352791276,1737.39220931947,8.32156155993061,0.00134287289537267
"15",-3.13916584538718,NA,"+","+",-0.130485705807846,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.22161270338132,12,-856.476704257046,1737.40888296665,8.33823520710507,0.00133172413812731
"1597",-1.93127043027802,NA,NA,"+",-0.0743457672980944,"+","+","+",NA,NA,NA,"+","+",NA,0.241687041775717,20,-848.151119077357,1737.54300624925,8.47235848970649,0.00124534525641359
"1472",-2.48804060681338,"+","+","+",-0.152848409344865,"+","+","+",NA,"+","+",NA,"+",NA,0.261723380463909,28,-839.638402222969,1737.70430818286,8.633660423317,0.00114885045610933
"2110",-1.74722785102501,"+",NA,"+",-0.142819884016836,"+","+","+",NA,NA,NA,NA,NA,"+",0.238934205942664,19,-849.304642416675,1737.73022878615,8.65958102661079,0.00113405707804106
"544",-3.10941982927244,"+","+","+",-0.0707975723680264,"+","+",NA,NA,NA,NA,"+",NA,NA,0.243974529683492,21,-847.18968200196,1737.74622790925,8.67558014970405,0.00112502130793287
"559",-3.11245466352682,NA,"+","+",-0.0734340589860323,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.233835627782327,17,-851.431086124197,1737.76217224839,8.69152448885143,0.00111608810311663
"2863",-3.11293591125405,NA,"+","+",-0.0688143542809522,"+",NA,"+",NA,NA,"+","+",NA,"+",0.243947026180457,21,-847.201257540636,1737.7693789866,8.69873122705508,0.00111207366282971
"1334",-1.54552929367144,"+",NA,"+",-0.138770869249397,NA,"+","+",NA,NA,"+",NA,"+",NA,0.23879244771717,19,-849.363940399932,1737.84882475267,8.77817699312436,0.00106876476262045
"1599",-2.55450462203581,NA,"+","+",-0.0781488857540052,"+","+","+",NA,NA,NA,"+","+",NA,0.248829841397977,23,-845.140162281025,1737.9183067579,8.84765899835384,0.00103227236471564
"2357",-1.56793763043279,NA,NA,"+",-0.111393090075883,NA,"+","+",NA,NA,"+",NA,NA,"+",0.228546314965113,15,-853.623471269431,1737.95075485558,8.88010709603464,0.00101565985294855
"1824",-3.03945848256001,"+","+","+",-0.100826594927004,"+","+",NA,NA,NA,"+","+","+",NA,0.256173376491116,26,-842.01726569211,1738.1269307881,9.05628302855303,0.000930019743432657
"960",-2.674241861711,"+","+","+",-0.00849118548620491,"+","+","+",NA,"+","+","+",NA,NA,0.261160442297127,28,-839.880431155145,1738.18836604721,9.11771828766769,0.000901886053748942
"1150",-1.80245848985464,"+",NA,"+",-0.126537826822523,"+","+","+","+",NA,NA,NA,"+",NA,0.248504451836698,23,-845.277892340321,1738.19376687649,9.12311911694633,0.000899453872872825
"47",-3.0653053226306,NA,"+","+",-0.128674252238892,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.225684300487791,14,-854.804040024619,1738.22301416344,9.15236640389753,0.000886396287546668
