"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDist:OrderClass","logDist:Region","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"277",-2.03789178836544,NA,NA,"+",-0.103454110024007,NA,"+",NA,NA,NA,"+",NA,NA,NA,0.213643581166181,11,-859.727501898497,1741.83984344714,12.7691956875979,0.000145292577585698
"1078",-1.54100454180312,"+",NA,"+",-0.148705705418426,NA,"+","+",NA,NA,NA,NA,"+",NA,0.228874428992574,17,-853.487870117289,1741.87574023458,12.8050924750351,0.000142708072438485
"1301",-1.98077878770797,NA,NA,"+",-0.134869537616256,NA,"+",NA,NA,NA,"+",NA,"+",NA,0.221196721585715,14,-856.647144417021,1741.90922294824,12.8385751887015,0.000140338833150877
"160",-3.08994075340449,"+","+","+",-0.121879749981463,"+","+",NA,NA,"+",NA,NA,NA,NA,0.23899088522341,21,-849.280930446801,1741.92872479893,12.8580770393858,0.000138977049780119
"655",-3.12147137308825,NA,"+","+",-0.10651613582222,"+",NA,NA,NA,"+",NA,"+",NA,NA,0.231263777994575,18,-852.498821170727,1742.0050061117,12.9343583521622,0.000133776186511583
"3198",-1.77897380158493,"+",NA,"+",-0.151397417059983,"+","+","+","+",NA,NA,NA,"+","+",0.249056163590214,25,-845.044333143179,1742.02319009588,12.9525423363389,0.000132565407021664
"80",-3.16677284794213,"+","+","+",-0.102458676679824,"+",NA,NA,"+",NA,NA,NA,NA,NA,0.231230821231119,18,-852.512482399988,1742.03232857023,12.9616808106839,0.000131961065976344
"175",-3.05505659253917,NA,"+","+",-0.128741769933097,"+",NA,"+",NA,"+",NA,NA,NA,NA,0.228637796389014,17,-853.585669628766,1742.07133925753,13.0006914979895,0.000129412060465295
"1184",-2.97128212586119,"+","+","+",-0.172711921563581,"+","+",NA,NA,"+",NA,NA,"+",NA,0.246431126800251,24,-846.154209790945,1742.09148050314,13.0208327435964,0.000128115340764768
"3263",-2.49562104781463,NA,"+","+",-0.187341208434305,"+","+","+",NA,"+",NA,NA,"+","+",0.248917799278553,25,-845.102922360724,1742.14036853097,13.0697207714297,0.000125021652709991
"312",-1.49563656322168,"+","+","+",-0.102897802699481,NA,"+","+",NA,NA,"+",NA,NA,NA,0.23352239998666,19,-851.561301324345,1742.24354660149,13.1728988419509,0.000118735449955891
"112",-3.10760817020452,"+","+","+",-0.0990865151788713,"+",NA,"+","+",NA,NA,NA,NA,NA,0.236040386366411,20,-850.513145756698,1742.26705960793,13.1964118483884,0.000117347709726425
"2422",-1.65151885208662,"+",NA,"+",-0.0919597930650604,NA,"+","+","+",NA,"+",NA,NA,"+",0.238547806046993,21,-849.466251212574,1742.29936633047,13.2287185709313,0.000115467377505919
"2861",-2.51398348377329,NA,NA,"+",-0.0940642920419775,"+",NA,"+",NA,NA,"+","+",NA,"+",0.230842534082042,18,-852.673394839379,1742.35415344901,13.2835056894655,0.00011234724592314
"2864",-3.11147959366462,"+","+","+",-0.0651830172918935,"+",NA,"+",NA,NA,"+","+",NA,"+",0.246091393826183,24,-846.297592712144,1742.37824634554,13.3075985859948,0.000111001979745524
"798",-2.32846059073792,"+",NA,"+",-0.0504237629606142,"+","+",NA,NA,NA,"+","+",NA,NA,0.235872171861961,20,-850.583266175918,1742.40730044637,13.3366526868294,0.000109401104540069
"2688",-2.68170114366043,"+","+","+",-0.0723365855406645,"+","+","+","+",NA,NA,"+",NA,"+",0.256234300789248,28,-841.991239917365,1742.40998357165,13.3393358121089,0.000109254434510988
"781",-2.53358144475469,NA,NA,"+",-0.0542414760619505,"+",NA,NA,NA,NA,"+","+",NA,NA,0.22045876243812,14,-856.949303649475,1742.51354141315,13.4428936536103,0.000103741321030203
"3008",-2.6818036663596,"+","+","+",-0.00602522412685098,"+","+","+",NA,"+","+","+",NA,"+",0.261166621733687,30,-839.87777528682,1742.54415627079,13.4735085112488,0.000102165400560137
"2102",-1.53198362780526,"+",NA,"+",-0.146945485366663,NA,"+","+",NA,NA,NA,NA,NA,"+",0.225488032420688,16,-854.884853629556,1742.56853251609,13.4978847565451,0.000100927753744341
"2479",-3.06879164828405,NA,"+","+",-0.0958538621645185,"+",NA,"+",NA,"+","+",NA,NA,"+",0.23813705311068,21,-849.63796346235,1742.64279083002,13.5721430704828,9.72491064668279e-05
"16",-3.13375753807838,"+","+","+",-0.130405646318913,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.222836553538322,15,-855.9747730815,1742.65335847972,13.5827107201742,9.67366143734294e-05
"286",-2.27719440221464,"+",NA,"+",-0.10260250859687,"+","+",NA,NA,NA,"+",NA,NA,NA,0.227926850667569,17,-853.879336507362,1742.65867301472,13.5880252551815,9.64799005413597e-05
"2751",-2.60350161331554,NA,"+","+",-0.0624120957229666,"+","+","+",NA,"+",NA,"+",NA,"+",0.248295397436134,25,-845.366351681165,1742.66722717185,13.5965794123117,9.60681296427564e-05
"1664",-2.59769178043491,"+","+","+",-0.0947745844992601,"+","+","+","+",NA,NA,"+","+",NA,0.258472817321086,29,-841.033637323272,1742.67206506571,13.6014173061642,9.58360267712864e-05
"560",-3.11322057755083,"+","+","+",-0.0726393742058244,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.235549564119488,20,-850.717706196516,1742.67618048757,13.6055327280246,9.56390266856164e-05
"2686",-1.88986220037968,"+",NA,"+",-0.0910987246819907,"+","+","+","+",NA,NA,"+",NA,"+",0.248251927408476,25,-845.384742786022,1742.70400938157,13.6333616220249,9.43174781484097e-05
"672",-3.16133425299682,"+","+","+",-0.0397946552909873,"+","+",NA,NA,"+",NA,"+",NA,NA,0.245658415207607,24,-846.480244241799,1742.74354940485,13.6729016453035,9.24711317893003e-05
"2359",-1.44977695503474,NA,"+","+",-0.109860921764458,NA,"+","+",NA,NA,"+",NA,NA,"+",0.230349953150996,18,-852.877421597944,1742.76220696614,13.6915592065961,9.16125001049801e-05
"557",-2.53462487917539,NA,NA,"+",-0.0762672723133734,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.220096216792699,14,-857.097653101253,1742.81024031671,13.7395925571652,8.94384832630946e-05
"269",-2.50093347822981,NA,NA,"+",-0.102378310673666,"+",NA,NA,NA,NA,"+",NA,NA,NA,0.21240471433662,11,-860.230157137918,1742.84515392598,13.7745061664391,8.78907219226228e-05
"848",-3.20985496453186,"+","+","+",-0.050054006553025,"+",NA,NA,"+",NA,"+","+",NA,NA,0.242979182123515,23,-847.608354692335,1742.85469158052,13.7840438209741,8.74725840574129e-05
"992",-3.28727499701858,"+","+","+",0.0284567066874711,"+","+",NA,"+","+","+","+",NA,NA,0.258257648202869,29,-841.12579755535,1742.85638552986,13.7857377703197,8.73985283602329e-05
"1984",-2.59954570692494,"+","+","+",-0.0560519225749634,"+","+","+",NA,"+","+","+","+",NA,0.26333243345688,31,-838.945681029036,1742.87034103705,13.7996932775079,8.6790805700118e-05
"687",-3.05721376640776,NA,"+","+",-0.111386265274785,"+",NA,"+",NA,"+",NA,"+",NA,NA,0.235307770246511,20,-850.818434786715,1742.87763766796,13.8069899084221,8.64747423621013e-05
"2349",-2.49058223852134,NA,NA,"+",-0.112043036238719,"+",NA,"+",NA,NA,"+",NA,NA,"+",0.222555338538073,15,-856.09017019405,1742.88415270482,13.8135049452742,8.61935076078585e-05
"2240",-2.46389215659407,"+","+","+",-0.127008608574271,"+","+","+",NA,"+",NA,NA,NA,"+",0.247966444960557,25,-845.505499347057,1742.94552250364,13.8748747440955,8.35888349254469e-05
"45",-2.48999707051674,NA,NA,"+",-0.130403965739078,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.212259338072279,11,-860.28909436632,1742.96302838279,13.8923806232433,8.2860379617749e-05
"1336",-1.44127098698879,"+","+","+",-0.138540775796585,NA,"+","+",NA,NA,"+",NA,"+",NA,0.240228649561672,22,-848.762705372459,1743.02467000418,13.9540222446349,8.03455097813866e-05
"3125",-1.54370047132653,NA,NA,"+",-0.154580088078967,NA,"+","+",NA,NA,NA,NA,"+","+",0.224901258722798,16,-855.126346840863,1743.0515189387,13.9808711791582,7.92741216134864e-05
"278",-2.02520437450526,"+",NA,"+",-0.102768486221368,NA,"+",NA,NA,NA,"+",NA,NA,NA,0.219651196167073,14,-857.279664187305,1743.17426248881,14.1036147292705,7.45552130052696e-05
"55",-1.40876691085858,NA,"+","+",-0.135213938265049,NA,"+","+",NA,NA,NA,NA,NA,NA,0.219642128965753,14,-857.283371638229,1743.18167739066,14.1110296311169,7.42793149672222e-05
"1302",-1.94281826292987,"+",NA,"+",-0.139881794878631,NA,"+",NA,NA,NA,"+",NA,"+",NA,0.227248467351358,17,-854.15932279088,1743.21864558176,14.1479978222178,7.29189403908876e-05
"48",-3.05517163116214,"+","+","+",-0.127997586178843,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.227204139150011,17,-854.177610366424,1743.25522073285,14.184572973305,7.15975491078522e-05
"2304",-2.62120732819285,"+","+","+",-0.0999606862795467,"+","+","+","+","+",NA,NA,NA,"+",0.25513045939302,28,-842.462480586505,1743.35246490993,14.2818171503882,6.81996037354481e-05
"1662",-1.82901385578488,"+",NA,"+",-0.089888073126389,"+","+","+","+",NA,NA,"+","+",NA,0.249861103820403,26,-844.703292705552,1743.49898481498,14.4283370554363,6.33819298055587e-05
"2991",-3.03536802478199,NA,"+","+",-0.115588803008192,"+",NA,"+",NA,"+","+","+",NA,"+",0.244757667866749,24,-846.859917455077,1743.5028958314,14.432248071859,6.32581070290572e-05
"1280",-2.56411323209917,"+","+","+",-0.142241909506393,"+","+","+","+","+",NA,NA,"+",NA,0.257485592841998,29,-841.456280521334,1743.51735146183,14.446703702288,6.28025374901491e-05
"880",-3.15794902749146,"+","+","+",-0.0488758276501759,"+",NA,"+","+",NA,"+","+",NA,NA,0.247250082873555,25,-845.808330360888,1743.5511845313,14.4805367717568,6.1749071800087e-05
"1727",-2.57307461307411,NA,"+","+",-0.0774156795159268,"+","+","+",NA,"+",NA,"+","+",NA,0.249747112123946,26,-844.751609443925,1743.59561829172,14.5249705321817,6.0392327190719e-05
"376",-1.53987510452452,"+","+","+",-0.079701514666823,NA,"+","+","+",NA,"+",NA,NA,NA,0.239540155010007,22,-849.051058069769,1743.6013753988,14.530727639255,6.02187346113294e-05
"1952",-3.08787311214951,"+","+","+",-0.0610655786476433,"+","+",NA,NA,"+","+","+","+",NA,0.257271766190515,29,-841.547755000513,1743.70030042019,14.6296526606459,5.73126289163794e-05
"2416",-3.10966464021543,"+","+","+",-0.0853319948217541,"+",NA,"+","+",NA,"+",NA,NA,"+",0.244512989807019,24,-846.962980189162,1743.70902129957,14.6383735400302,5.70632647182694e-05
"814",-2.56659551816963,"+",NA,"+",-0.0523913171747785,"+",NA,"+",NA,NA,"+","+",NA,NA,0.231729401361347,19,-852.30575392006,1743.73245179292,14.6618040333806,5.63986551299277e-05
"29",-2.34616819893662,NA,NA,"+",-0.135107287308952,"+","+",NA,NA,NA,NA,NA,NA,NA,0.213860065990021,12,-859.639591442897,1743.73465733835,14.6640095788055,5.63364945128476e-05
"2352",-3.03802831500341,"+","+","+",-0.108996054604841,"+",NA,"+",NA,NA,"+",NA,NA,"+",0.23673934371034,21,-850.22163355934,1743.810131024,14.7394832644625,5.42501467488433e-05
"3968",-2.64233774447892,"+","+","+",-0.125633740789331,"+","+","+","+",NA,"+","+","+","+",0.267324188056246,33,-837.221211345509,1743.82194076331,14.7512930037642,5.39307506280259e-05
"541",-2.39626731112654,NA,NA,"+",-0.0763095602589236,"+","+",NA,NA,NA,NA,"+",NA,NA,0.221401069875224,15,-856.563427223846,1743.83066676441,14.7600190048663,5.36959632943966e-05
"400",-3.15593947430522,"+","+","+",-0.0952968298895119,"+",NA,NA,NA,"+","+",NA,NA,NA,0.234140830205877,20,-851.304160484954,1743.84908906444,14.7784413049012,5.32036326677798e-05
"1632",-3.10085797198444,"+","+","+",-0.1027480643042,"+","+",NA,"+",NA,NA,"+","+",NA,0.251996158031616,27,-843.797086399003,1743.85088921592,14.7802414563739,5.31557669135631e-05
"3646",-1.78302395389378,"+",NA,"+",-0.128813979861538,"+","+","+",NA,NA,NA,"+","+","+",0.246851850268804,25,-845.976563475723,1743.88765076097,14.8170030014276,5.218764750145e-05
"1053",-2.34037943436129,NA,NA,"+",-0.134052645778137,"+","+",NA,NA,NA,NA,NA,"+",NA,0.221309854522862,15,-856.600798715223,1743.90540974716,14.8347619876188,5.17262989476974e-05
"768",-2.70830062318202,"+","+","+",-0.00855932194932409,"+","+","+","+","+",NA,"+",NA,NA,0.257025626864648,29,-841.653023081031,1743.91083658122,14.8401888216815,5.15861341759007e-05
"439",-1.48199867772443,NA,"+","+",-0.0979074580343986,NA,"+","+",NA,"+","+",NA,NA,NA,0.231462771344116,19,-852.416323133463,1743.95359021973,14.8829424601863,5.04950897864651e-05
"3648",-2.54207487913647,"+","+","+",-0.130215852065538,"+","+","+",NA,NA,NA,"+","+","+",0.254343616163617,28,-842.798003626781,1744.02351099048,14.9528632309407,4.87602637734207e-05
"302",-2.52929732457677,"+",NA,"+",-0.0983083848761329,"+",NA,"+",NA,NA,"+",NA,NA,NA,0.22353414842706,16,-855.688348853144,1744.17552296326,15.1048752037211,4.51915321663609e-05
"350",-2.33018607463219,"+",NA,"+",-0.0797737384673841,"+","+",NA,"+",NA,"+",NA,NA,NA,0.233703263528813,20,-851.486118578804,1744.21300525214,15.1423574926011,4.43524781095057e-05
"1248",-3.06128299424596,"+","+","+",-0.145541775863356,"+","+",NA,"+","+",NA,NA,"+",NA,0.251315843693669,27,-844.086095770881,1744.42890795967,15.3582602001297,3.98139450726174e-05
"912",-3.15105292127393,"+","+","+",-0.0746883417566965,"+",NA,NA,NA,"+","+","+",NA,NA,0.241030290737544,23,-848.426664565453,1744.49131132675,15.420663567209,3.85908632888694e-05
"3383",-1.43390550363904,NA,"+","+",-0.142560112889514,NA,"+","+",NA,NA,"+",NA,"+","+",0.235894734303578,21,-850.573861812962,1744.51458753125,15.4439397717081,3.8144342244724e-05
"2166",-1.61114659402353,"+",NA,"+",-0.124363694538979,NA,"+","+","+",NA,NA,NA,NA,"+",0.230649497554248,19,-852.753364678994,1744.62767331079,15.5570255512475,3.60473933310461e-05
"1821",-2.35298447273593,NA,NA,"+",-0.0863847706010312,"+","+",NA,NA,NA,"+","+","+",NA,0.233190974526353,20,-851.699028785865,1744.63882566626,15.5681779067227,3.58469460430965e-05
"3264",-2.47036817726004,"+","+","+",-0.205392649533386,"+","+","+",NA,"+",NA,NA,"+","+",0.25359757199755,28,-843.11583163233,1744.65916700158,15.5885192420378,3.54842064471762e-05
"3966",-1.81411995420711,"+",NA,"+",-0.118155816709908,"+","+","+","+",NA,"+","+","+","+",0.258649406694026,30,-840.957983200781,1744.70457209871,15.6339243391722,3.46877000990014e-05
"3126",-1.52842653007758,"+",NA,"+",-0.164534742952362,NA,"+","+",NA,NA,NA,NA,"+","+",0.230543400495251,19,-852.797310033686,1744.71556402017,15.6449162606323,3.44975807841407e-05
"1142",-1.56898076380315,"+",NA,"+",-0.136278921564013,NA,"+","+","+",NA,NA,NA,"+",NA,0.233052093589685,20,-851.756726116512,1744.75422032756,15.6835725680166,3.38372086856628e-05
"1079",-1.42121215664535,NA,"+","+",-0.140444422856365,NA,"+","+",NA,NA,NA,NA,"+",NA,0.225374589700022,17,-854.931555269278,1744.76311053856,15.692462779014,3.36871325225751e-05
"2360",-1.48132220638234,"+","+","+",-0.110045105040823,NA,"+","+",NA,NA,"+",NA,NA,"+",0.235575821436117,21,-850.706765945498,1744.78039579632,15.7097480367786,3.33972416521274e-05
"432",-3.08008223375645,"+","+","+",-0.0947857022155948,"+",NA,"+",NA,"+","+",NA,NA,NA,0.238120870308907,22,-849.644726834318,1744.7887129279,15.718065168353,3.32586454061465e-05
"2608",-3.08183995251164,"+","+","+",-0.0902064209310579,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.23809391746532,22,-849.655991101238,1744.81124146173,15.7405937021922,3.28861132368159e-05
"3584",-2.6045726274945,"+","+","+",-0.15982878295801,"+","+","+","+","+","+",NA,"+","+",0.266113047834344,33,-837.745334578601,1744.87018722949,15.7995394699497,3.19310086205924e-05
"2605",-2.47258274541537,NA,NA,"+",-0.121159635198898,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.222687683606694,16,-856.035866895344,1744.87055904766,15.7999112881214,3.19250729077374e-05
"3446",-1.56957974502199,"+",NA,"+",-0.141754163391562,NA,"+","+","+",NA,"+",NA,"+","+",0.243037224801752,24,-847.583954006615,1744.95096893448,15.8803211749353,3.06669872529957e-05
"2160",-3.07966438796807,"+","+","+",-0.114695811858745,"+",NA,"+","+",NA,NA,NA,NA,"+",0.237885790831137,22,-849.742960182287,1744.98517962383,15.9145318642913,3.01468788640306e-05
"1695",-3.01837670770981,NA,"+","+",-0.087848549361569,"+","+",NA,NA,"+",NA,"+","+",NA,0.242985904463472,24,-847.605528760803,1744.99411844285,15.923470683312,3.00124407701676e-05
"366",-2.55371349809752,"+",NA,"+",-0.0743838729246415,"+",NA,"+","+",NA,"+",NA,NA,NA,0.230151085462268,19,-852.959758702555,1745.04046135791,15.9698135983708,2.93250039873499e-05
"4031",-2.57321482363278,NA,"+","+",-0.0951767374053659,"+","+","+",NA,"+","+","+","+","+",0.258243160795722,30,-841.132001859561,1745.05260941627,15.981961656732,2.91474229196738e-05
"342",-2.08065850518899,"+",NA,"+",-0.0821880136801839,NA,"+",NA,"+",NA,"+",NA,NA,NA,0.224944298119415,17,-855.108639178519,1745.11727835704,16.046630597496,2.82200306052636e-05
"2048",-2.82115949118975,"+","+","+",0.0356757552273773,"+","+","+","+","+","+","+","+",NA,0.268367344218704,34,-836.769151739778,1745.1280470693,16.0573993097578,2.80684922448179e-05
"782",-2.53343704732113,"+",NA,"+",-0.0532330422655077,"+",NA,NA,NA,NA,"+","+",NA,NA,0.224901887786198,17,-855.126088032313,1745.15217606463,16.0815283050833,2.77318945097259e-05
"464",-3.19587268054174,"+","+","+",-0.0726610842900492,"+",NA,NA,"+","+","+",NA,NA,NA,0.240234184725654,23,-848.760386190255,1745.15875457636,16.0881068168128,2.76408270672358e-05
"1303",-1.78637335968719,NA,"+","+",-0.134968566060638,NA,"+",NA,NA,NA,"+",NA,"+",NA,0.224880761551559,17,-855.134779658773,1745.16955931755,16.0989115580041,2.74919037076385e-05
"2093",-2.4424599824029,NA,NA,"+",-0.145863178825554,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.214588777825832,13,-859.343512307739,1745.21918835817,16.148540598625,2.68180999381605e-05
"56",-1.43497663150975,"+","+","+",-0.136343786649647,NA,"+","+",NA,NA,NA,NA,NA,NA,0.224803393157286,17,-855.166608243367,1745.23321648673,16.1625687271917,2.66306542079195e-05
"2752",-2.64062063929138,"+","+","+",-0.0402900482656757,"+","+","+",NA,"+",NA,"+",NA,"+",0.252878216088628,28,-843.422016117683,1745.27153597229,16.2008882127443,2.61252746545831e-05
"270",-2.50090067050955,"+",NA,"+",-0.100913681716528,"+",NA,NA,NA,NA,"+",NA,NA,NA,0.217028130592089,14,-858.350559769554,1745.31605365331,16.2454058937672,2.55501805410939e-05
"2223",-3.02376496687913,NA,"+","+",-0.131107446582036,"+",NA,"+",NA,"+",NA,NA,NA,"+",0.229809480853033,19,-853.10114778709,1745.32323952698,16.2525917674411,2.54585450750354e-05
"21",-2.00791866580056,NA,NA,"+",-0.134994034298458,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.204205558843021,9,-863.538738185372,1745.33910427772,16.2684565181792,2.52573971841661e-05
"944",-3.08853344098191,"+","+","+",-0.0784878196002117,"+",NA,"+",NA,"+","+","+",NA,NA,0.245082978227356,25,-846.722843817555,1745.38021144463,16.3095636850917,2.47435657903409e-05
"2928",-3.14828343472488,"+","+","+",-0.0574940809995574,"+",NA,"+","+",NA,"+","+",NA,"+",0.250121502535706,27,-844.592894508591,1745.44250543509,16.3718576755509,2.39847567205744e-05
"736",-3.24560257378528,"+","+","+",-0.00326895180332805,"+","+",NA,"+","+",NA,"+",NA,NA,0.250114324488826,27,-844.595938169253,1745.44859275642,16.3779449968742,2.39118662432743e-05
"592",-3.18662601161802,"+","+","+",-0.0730965328019712,"+",NA,NA,"+",NA,NA,"+",NA,NA,0.234756855426163,21,-851.047831140191,1745.46252618571,16.3918784261662,2.37458580318591e-05
"2016",-3.29965965531755,"+","+","+",0.0375667351673783,"+","+",NA,"+","+","+","+","+",NA,0.262805880973366,32,-839.172521075354,1745.52098200033,16.4503342407891,2.30618608893401e-05
"2103",-1.40707047081338,NA,"+","+",-0.14427876404711,NA,"+","+",NA,NA,NA,NA,NA,"+",0.221827328092469,16,-856.388733542899,1745.57629234277,16.5056445832313,2.24328193937464e-05
"279",-1.8443453004603,NA,"+","+",-0.10347294964801,NA,"+",NA,NA,NA,"+",NA,NA,NA,0.216582642102862,14,-858.532109397076,1745.67915290835,16.6085051488124,2.13082592397128e-05
"2735",-2.99988710756313,NA,"+","+",-0.145222729941239,"+",NA,"+",NA,"+",NA,"+",NA,"+",0.237037690621901,22,-850.097128654506,1745.69351656827,16.6228688087294,2.11557751579242e-05
"120",-1.48612569452443,"+","+","+",-0.109378704245653,NA,"+","+","+",NA,NA,NA,NA,NA,0.231874760176815,20,-852.24546009084,1745.73168827622,16.661040516673,2.07558279304422e-05
"496",-3.1353054424196,"+","+","+",-0.0715963474807944,"+",NA,"+","+","+","+",NA,NA,NA,0.24461567534072,25,-846.919730929107,1745.77398566774,16.7033379081963,2.03214783924523e-05
"13",-2.46633740363512,NA,NA,"+",-0.132981538406023,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.203536085754178,9,-863.807508668684,1745.87664524434,16.8059974848022,1.93046999558874e-05
"1728",-2.57117874811695,"+","+","+",-0.0745352878542519,"+","+","+",NA,"+",NA,"+","+",NA,0.254708073454267,29,-842.642633077492,1745.89005657415,16.8194088146031,1.91756821654643e-05
"3072",-2.79035990951765,"+","+","+",0.0176397963479807,"+","+","+","+","+","+","+",NA,"+",0.264902410970737,33,-838.268454531359,1745.91642713501,16.8457793754656,1.89245049784299e-05
"525",-2.50614438037875,NA,NA,"+",-0.0772093982121448,"+",NA,NA,NA,NA,NA,"+",NA,NA,0.21114969989562,12,-860.738626969637,1745.93272839183,16.8620806322863,1.87708852695298e-05
"624",-3.13186530451848,"+","+","+",-0.07215444754493,"+",NA,"+","+",NA,NA,"+",NA,NA,0.239226830228027,23,-849.182204735778,1746.0023916674,16.9317439078604,1.81283203514215e-05
"1374",-2.23242240426322,"+",NA,"+",-0.119047462362708,"+","+",NA,"+",NA,"+",NA,"+",NA,0.23921723389928,23,-849.186220641701,1746.01042347925,16.9397757197057,1.80556647091129e-05
"3712",-2.62235673736052,"+","+","+",-0.141370427808212,"+","+","+","+",NA,NA,"+","+","+",0.259651680225083,31,-840.528279888725,1746.03553875643,16.9648909968867,1.78303458942573e-05
"440",-1.51345947966262,"+","+","+",-0.102762735115403,NA,"+","+",NA,"+","+",NA,NA,NA,0.236567901810037,22,-850.2931588972,1746.08557705366,17.0149292941169,1.73897800921687e-05
"2096",-2.998039745551,"+","+","+",-0.142444178339216,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.228885380711507,19,-853.483343142649,1746.0876302381,17.016982478558,1.73719370395452e-05
"2862",-2.51223205982675,"+",NA,"+",-0.0912829062669744,"+",NA,"+",NA,NA,"+","+",NA,"+",0.23399611176471,21,-851.364350822901,1746.09556555113,17.024917791585,1.7303147716842e-05
"1463",-1.41676231396955,NA,"+","+",-0.150788454480556,NA,"+","+",NA,"+","+",NA,"+",NA,0.236429955512385,22,-850.350699272575,1746.20065780441,17.130010044867,1.64174091815871e-05
"1045",-1.99841110223498,NA,NA,"+",-0.141026111258395,NA,"+",NA,NA,NA,NA,NA,"+",NA,0.210621712198616,12,-860.952320302848,1746.36011505825,17.2894672987079,1.51592920464679e-05
"30",-2.23500810766378,"+",NA,"+",-0.135815276390001,"+","+",NA,NA,NA,NA,NA,NA,NA,0.218271944590857,15,-857.843168558533,1746.39014943378,17.3195016742395,1.49333429178986e-05
"1054",-2.20834006306952,"+",NA,"+",-0.144308353965258,"+","+",NA,NA,NA,NA,NA,"+",NA,0.225855576567395,18,-854.733501605908,1746.47436698207,17.4037192225251,1.431757378038e-05
"3384",-1.44534498273132,"+","+","+",-0.150749035556169,NA,"+","+",NA,NA,"+",NA,"+","+",0.241195392753477,24,-848.357415077612,1746.49789107647,17.4272433169306,1.41501563179145e-05
"542",-2.29252781508606,"+",NA,"+",-0.0758784987226707,"+","+",NA,NA,NA,NA,"+",NA,NA,0.225799458186497,18,-854.756614995884,1746.52059376202,17.4499460024763,1.39904412484865e-05
"1400",-1.46998858015288,"+","+","+",-0.120843069173736,NA,"+","+","+",NA,"+",NA,"+",NA,0.243607948821127,25,-847.343935211617,1746.62239423276,17.5517464732161,1.32961443285284e-05
"2487",-1.47918222393311,NA,"+","+",-0.0981415571358458,NA,"+","+",NA,"+","+",NA,NA,"+",0.233264347441319,21,-851.668542555617,1746.70394901656,17.6333012570169,1.27648678892402e-05
"22",-1.98202618256547,"+",NA,"+",-0.135686597837417,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.210097185799284,12,-861.164483257293,1746.78444096714,17.7137932075987,1.22613339040237e-05
"2350",-2.48709016271505,"+",NA,"+",-0.1115661019968,"+",NA,"+",NA,NA,"+",NA,NA,"+",0.225433024236233,18,-854.907499956575,1746.8223636834,17.7517159238587,1.20310326728142e-05
"144",-3.11518947996599,"+","+","+",-0.130445219154159,"+",NA,NA,NA,"+",NA,NA,NA,NA,0.225420562287165,18,-854.912630213941,1746.83262419813,17.76197643859,1.19694684340515e-05
"1080",-1.42708905809936,"+","+","+",-0.148645247497407,NA,"+","+",NA,NA,NA,NA,"+",NA,0.230499964033319,20,-852.815299800584,1746.8713676957,17.80071993616,1.17398303255419e-05
"334",-2.51761369760101,"+",NA,"+",-0.0800943043586854,"+",NA,NA,"+",NA,"+",NA,NA,NA,0.222648232172421,17,-856.052055333883,1747.00411066777,17.9334629082241,1.09859356295175e-05
"1822",-2.22363094181651,"+",NA,"+",-0.0945746893744901,"+","+",NA,NA,NA,"+","+","+",NA,0.237965247649301,23,-849.709760422925,1747.0575030417,17.9868552821536,1.06965331962632e-05
"183",-1.42885268244752,NA,"+","+",-0.135384137349633,NA,"+","+",NA,"+",NA,NA,NA,NA,0.222553840762315,17,-856.090784707053,1747.08156941411,18.0109216545634,1.05685911396653e-05
"558",-2.52820589029947,"+",NA,"+",-0.0762202122938274,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.22253312695953,17,-856.099283132056,1747.09856626411,18.0279185045692,1.04791553305145e-05
"1366",-1.98652493963705,"+",NA,"+",-0.122098700775036,NA,"+",NA,"+",NA,"+",NA,"+",NA,0.230214215061543,20,-852.933623285815,1747.10801466616,18.0373669066221,1.04297664475073e-05
"94",-2.29557294267246,"+",NA,"+",-0.109523872142074,"+","+",NA,"+",NA,NA,NA,NA,NA,0.225050034367544,18,-855.065132388539,1747.13762854733,18.0669807877857,1.02764712327683e-05
"4032",-2.59565964974263,"+","+","+",-0.0807192821408573,"+","+","+",NA,"+","+","+","+","+",0.263473986364893,33,-838.884674549754,1747.1488671718,18.0782194122553,1.02188864771284e-05
"862",-2.34614580322513,"+",NA,"+",-0.0493365557407863,"+","+",NA,"+",NA,"+","+",NA,NA,0.237852473951211,23,-849.756880167438,1747.15174253072,18.0810947711798,1.02042055496759e-05
"1304",-1.79001170711272,"+","+","+",-0.140298772838113,NA,"+",NA,NA,NA,"+",NA,"+",NA,0.230160212706209,20,-852.955980178908,1747.15272845235,18.0820806928086,1.01991765158577e-05
