"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDistxOrderClass","logDistxRegion","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"441",-0.644564763611114,"+","+",NA,-0.238165677797282,NA,"+",NA,"+",NA,NA,NA,NA,NA,0.326336312624812,14,-349.587593743242,728.82873079357,12.3815297354138,0.0002784021467661
"143",-0.871722380126702,NA,"+","+",-0.212403947255549,"+",NA,NA,NA,NA,"+",NA,NA,NA,0.326266830992415,14,-349.600434243796,728.854411794678,12.4072107365218,0.000274850177183473
"158",-1.2188202247671,"+",NA,"+",-0.216808016907908,"+",NA,"+",NA,NA,"+",NA,NA,NA,0.332208900290921,15,-348.497860140458,728.892953482498,12.4457524243413,0.000269604290991452
"5421",-0.240530172900755,"+",NA,"+",-0.279975231036523,NA,"+","+",NA,NA,NA,NA,NA,"+",0.332069431450572,15,-348.523842980108,728.944919161796,12.4977181036398,0.000262689428826116
"8591",-0.441608451466299,NA,"+",NA,-0.107440655775209,NA,"+","+",NA,"+",NA,NA,"+","+",0.362252267182453,20,-342.780469375431,728.948035525055,12.5008344668981,0.000262280429714151
"9251",-0.551124515752481,NA,NA,"+",-0.0638702939962163,NA,"+","+",NA,NA,"+",NA,"+","+",0.350082681024565,18,-345.125758890059,728.987517780118,12.5403167219613,0.000257153490583186
"62",-1.14130561777467,"+",NA,"+",-0.235572460037295,"+",NA,"+","+",NA,NA,NA,NA,NA,0.331844775805914,15,-348.565685444462,729.028604090504,12.5814030323476,0.000251924638962083
"3991",-0.691983745464087,NA,"+","+",-0.102169950938368,NA,"+",NA,NA,NA,"+",NA,"+",NA,0.343913958949292,17,-346.299140198154,729.03652740826,12.5893263501035,0.000250928573817466
"566",-0.634814875335959,"+",NA,"+",-0.270262127095631,NA,NA,"+","+",NA,NA,NA,NA,"+",0.325590778102166,14,-349.725307737617,729.10415878232,12.6569577241632,0.000242585116614438
"542",-1.13508706986213,"+",NA,"+",-0.282419007664015,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.331232279200361,15,-348.679697813675,729.256628828931,12.8094277707745,0.000224778983040302
"4801",-0.239807982381867,"+","+","+",-0.0503067481209129,NA,"+","+",NA,"+","+",NA,"+",NA,0.385544047061599,24,-338.174400562856,729.266833912598,12.8196328544411,0.000223634960070761
"536",-0.736048891414736,"+","+","+",-0.291252084725325,NA,NA,"+",NA,NA,NA,NA,NA,"+",0.331153647521847,15,-348.694327605747,729.285888413075,12.8386873549188,0.000221514451192968
"7981",-0.430537538809626,"+",NA,"+",-0.141859455867336,NA,"+","+",NA,NA,NA,NA,"+","+",0.34923674330938,18,-345.287275553121,729.310551106242,12.8633500480855,0.00021879965268415
